Name,SCLT,Address,City,Latitude,Longitude,Status (Active/Inactive),Year Began,Public/Private
A Garden For Us All,,145 Main St ,Westerly,41.3727019,-71.8310518,Active,2019,Public
Agronomy Farm,,3 East Alumni Ave,Kingston,41.4888654,-71.5259588,Active,1888,RI Community Food Bank
Applegate Community Garden,SCLT-owned garden,2 Applegate Lane,Providence,41.7986798,-71.4060473,Active,2012,Public
Barrington Christian Academy Community Garden,,9 Old County Rd,Barrington,41.7558165,-71.3272718,Active,2013,Private
Barrington Community Garden,,1691 Wampanoag Trail,Barrington,41.7665164,-71.322296,Active,2013,Public
Boesch Farm,,830 South Rd,East Greenwich,41.60747,-71.507612,Active,2001,RI Community Food Bank
Border's Farm,,31 North Rd,Foster,41.787174,-71.743423,Active,2003,RI Community Food Bank
Borinquen St Community Garden,Network garden,88 Borinquen St,Providence,41.8079548,-71.41009,Active,1982,Public
Brattle St Community Garden,SCLT-owned garden,52 Brattle St,Providence,41.80556,-71.4340874,Active,2013,Public
Bridgham Community Garden,Network garden,180 Bridgham St,Providence,41.8173004,-71.4287677,Active,2006,Public
Brown St Park Community Garden,Network garden,232 Brown St,Providence,41.833594,-71.404689,Active,2010,Public
Burnett Community Garden ,SCLT-owned garden,93 Burnett St,Providence,41.8030631,-71.4280743,Active,1991,Public
Cadillac Community Garden,Network garden,8 Cadillac Dr,Providence,41.7930823,-71.4155877,Active,2010,Public
Camden Ave Community Garden,,83 Camden Ave,Providence,41.8380393,-71.4262489,Active,,Public
Central Falls Community Garden,Network garden,16 Perry St,Central Falls,41.888105,-71.3918774,Active,,Public
Chad Brown Apartment Complex Community Garden,Network garden,263 Chad Brown St,Providence,41.8405463,-71.4233963,Active,2018,Private
Champagne Heights Community Garden,,364 Curtis Corner Rd,South Kingstown,41.4562939,-71.5193857,Active,2018,Public
Charles Fortes School Garden,Network garden,234 Daboll St,Providence,41.803957,-71.427974,Active,,
Charles St Community Garden,SCLT-owned garden,485 Charles St,Providence,41.8485731,-71.4192146,Active,2017,Public
Charlestown Community Garden,,100 Park Lane,Charlestown,41.3672714,-71.6632788,Active,2012,Public
City Farm,SCLT-owned farm,168 West Clifford St,Providence,41.8106992,-71.4188857,Active,1981,Public
Claiborne Pell Elementary School,,35 Dexter St,Newport,41.5085486,-71.30488,Active,2018,Private
Clyde Tower Tenants Community Garden,,1021 Main St,West Warwick,41.7136004,-71.5248691,Active,2017,Private
Corliss Institute Garden,,290 Main St,Warren,41.7333385,-71.2831564,Active,2012,Public
Corliss Park Garden,Network garden,30 Corina St,Providence,41.8476698,-71.4285773,Active,2012,
Courtland Street Community Garden,Network garden,9 Courtland St,Providence,41.8221603,-71.4328436,Active,2000,Public
Coventry Community Garden,,1675 Flat River Rd,Coventry,41.7033749,-71.5921921,Active,2009,Public
D'abate Elementary School Community Garden,Network garden,60 Kossuth St,Providence,41.8218073,-71.4474262,Active,2003,Private
Davey Lopes,Network garden,227 Dudley St,Providence,41.8103628,-71.4166243,Active,2009,Public
