street,sic_name,employees,Longitude,Latitude,firstyear,lastyear
409 Pine St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.4178125,41.81443759,1953,2008
147 Summer Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.41780474,41.81480583,1953,1969
90 Libera St Ste 12,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.47134134,41.78782222,1998,2012
1845 Smith St Unit 7,Leather & Leather Products,0-49,-71.4750566,41.85485126,2008,2010
1417 Douglas Ave Ste 1,Leather & Leather Products,0-49,-71.45377793,41.86385412,2010,2010
21 Brayton St,Rubber & Miscellaneous Plastic Products,100-249,-71.52320611,41.71338499,1953,2006
195 Weeden Street,Fabricated Metal Products,0-49,-71.39521716,41.87761385,1953,1959
2M Conant Sheet,Fabricated Metal Products,0-49,-71.39267326,41.87479929,1967,1967
200 Conant Street,Fabricated Metal Products,0-49,-71.39460226,41.87953714,1959,2012
44 Franklin St,Jewelry & Other Miscellaneous Manufacturing,50-99,-71.42450439,41.87097332,1953,1959
1828 Westminster Street,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.44035871,41.81620987,1953,1998
54 Taylor Drive,Jewelry & Other Miscellaneous Manufacturing,100-249,-71.47030739,41.85183784,1971,2002
155 Brook id Avenue,Industrial & Commercial Machinery,NA,-71.40542271,41.75738802,1967,1967
1091 Main Street,Industrial & Commercial Machinery,0-49,-71.52289062,41.70978961,1953,1975
84 Sprague St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.42731169,41.80962094,1953,2008
134 Thurbers Avenue,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.40576402,41.79991721,1953,1983
229 Georgia Avenue,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.40150273,41.79138285,1969,1975
815 ReservoirAve,Primary Metal Industries,100-249,-71.4454881,41.77820433,2006,2008
2348 Post Road,Paper & Allied Products,NA,-71.44361718,41.71830169,1994,1994
405 Kilvert St it F,Precision Machinery,0-49,-71.4514887,41.72919313,1998,1998
55 Eddy St,Jewelry & Other Miscellaneous Manufacturing,0-49,-71.41308998,41.82368899,1953,1979
180 200 Weeden Street,Primary Metal Industries,0-49,-71.39480899,41.87763203,1986,1986
191 Pine St,Jewelry & Other Miscellaneous Manufacturing,NA,-71.41250284,41.81999215,1953,1988
69 Richmond Street,Fabricated Metal Products,0-49,-71.41155713,41.82041397,1953,1991
Mill St Lonsdale,Textile Mill Products,100-249,-71.4121798,41.8229818,1953,1953
1 Washington Ave,Industrial & Commercial Machinery,0-49,-71.39272651,41.78879551,1953,1975
